id,nama_obat,harga_obat
1,LISINOPRIL 5MG TAB NOVEL,0
2,VITAMIN B COMPLEK TAB IMFARMIND,60
3,CYANOCOBALAMINE (VIT B12) TAB 50 MCG KF,67
4,"DEKSAMETASON TABLET 0,5 MG KF",69
5,PROPANOLOL TAB 10 MG DEXA,70
6,AMLODIPIN TAB 5 MG MEGA LIFE,73
7,CHLORFENIRAMIN MALEAT TAB 4 MG PIM,74
8,SALBUTAMOL TAB 2 MG KF,80
9,KALSIUM LACTAT TAB 500 MG IMFARMIND,84
10,GLIMEPIRIDE TAB 1 MG DEXA,99
11,AMLODIPIN TAB 10 MG MEGA LIFE,100
12,SIMVASTATIN TAB 10 MG HJ,105
13,NATRIUM DIKLOFENAK TAB 50 MG DEXA,110
14,METOCLOPRAMID TAB 10 MG KF,114
15,RAMIPRIL TAB 5 MG DEXA,155
16,ALLOPURINOL TAB 100 MG HJ,155
17,METILPREDNISOLON TAB 4 MG DEXA,160
18,METFORMIN TAB 500 MG HJ,162
19,DIAZEPAM TAB 2 MG YARINDO,170
20,GLIMEPIRIDE TAB 2 MG DEXA,175
21,AMBROXOL TAB 30 MG BERNO,200
22,BISOPROLOL TAB 5 MG DEXA,200
23,VITAMIN D3 1000 IU TAB PIM,207
24,AMITRIPTILLINE TAB 25 MG YARINDO,210
25,VITAMIN B6 TAB 25MG PIRIDOKSIN IMFARMIND,222
26,ASAM FOLAT TAB 1 MG PHAPROS,244
27,SPIRONOLAKTON TAB 25 MG DEXA,250
28,ONDANSETRON TAB 4 MG MEGA LIFE,250
29,FUROSEMIDE TAB 40 MG YARINDO,263
30,GLIMEPIRIDE TAB 3 MG DEXA,285
31,CANDESARTAN TAB 8 MG DEXA,285
32,MELOXICAM TAB 15 MG MBF,310
33,N ASETILSISTEIN CAP 200 MG DEXA,320
34,LANSOPRAZOL CAP 30 MG HJ,384
35,IBUPROFEN TAB 400 MG YARINDO,401
36,CANDESARTAN TAB 16 MG DEXA,420
37,"VITAMIN B1, B6, B12 TAB BENEURON",430
38,FLUOXETIN HCL TAB 20 MG PROMED,497
39,CEFADROKSIL CAP 500 MG INFION,504
40,MECOBALAMIN TAB 500 MCG TAB NULAB,505
41,PARACETAMOL COFFEIN TAB FASIDOL PLUS,535
42,RAMIPRIL TAB 10 MG DEXA,555
43,PIRACETAM 800 MG TAB BERNO,560
44,ATORVASTATIN TAB 20 MG BETA PHARMACON,601
45,ASETOSAL TAB 80 MG NOSPIRINAL,640
46,GABAPENTIN TAB 300 MG DEXA,645
47,PARACETAMOL COFFEIN TAB PARACAF,686
48,CLOPIDOGREL TAB 75 MG BETA PHARMACON,700
49,ACARBOSE TAB 50 MG DEXA,700
50,FENOFIBRAT TAB 300 MG DEXA,734
51,PHENYTOIN 100 MG KAPS IKHAPARMINDO,738
52,PIOGLITAZONE TAB 30 MG DEXA,747
53,GABAPENTIN TAB 100 MG DEXA,750
54,LEVOTIROKSIN TAB 50 MCG EUTHYROX,759
55,ACARBOSE TAB 100 MG DEXA,848
56,THIAMAZOL TAB 10 MG NOVELL,888
57,EPERISONE  50 MG TABLET NULAB,1000
58,"PSEUDOEFEDRIN TRIPROLIDIN TAB 60/2,5 MEPRO EFLIN",1179
59,PREGABALIN 75 MG TABLET PHAPROS,1221
60,CODEIN TAB 20 MG KF,1360
61,UDCA CAP 250 MG DEXA,1559
62,VILDAGLIPTIN TAB 50 MG DEXA,1754
63,NEEDLE 32 FINE PEN BD,1887
64,KCL TAB 600 MG KSR,1962
65,FLUNARIZIN 10 MG TAB BERNO,2423
66,GLUCOSAMIN TAB 500MG MPL MEDIKON,2510
67,CELECOXIB 100MG KAPS HJ,2664
68,CITICOLIN TAB 500 MG MBF,2997
69,AZITROMISIN TAB 500 MG PRATAPA,3100
70,GLICLAZIDE TAB 60 MG FONYLIN MR,3210
71,BETAHISTINE TAB 24 MG YARINDO,3608
72,ZOLPIDEM TARTRATE TAB 10 MG ZUDEM,3663
73,ANTASIDA DOEN SIR ERELA,3719
74,NIFEDIPIN TAB 30 MG ADALAT OROS 30 MG,4245
75,OBH SYR MOLEX,5500
76,SILOSTAZOL KAPS SR 100 MG PLETAAL SR,6178
77,MECOBALAMIN 500 MCG INJ NULAB,6215
78,DONEPEZIL TABLET DISP 10 MG ARICEPT EVESS,6888
79,SUKRALFAT SIR 500MG/ 5ML DEXA,7150
80,INDACATEROL 300 MCG ONBREZ BREEZHALER,12836
81,NATRIUM DICLOFENAC 1% GEL GALTAREN,22500
82,SALMETEROL 25 MCG DAN FLUTIKASON PROPIONAT 50 MCG SERETIDE INHALER,62841
83,INSULIN DETEMIR PEN 100 IU/ ML INSULIN LONG ACTING LEVEMIR,89799
84,INSULIN GARGLINE LONG ACTING 100 IU/ ML EZELIN,89799
85,INSULIN ASPART RAPID PEN 100 IU/ ML NOVORAPID,95326
86,INSULIN MIX ASPARTAT&DEGLUDEC RYZODEG,113018
87,INSULIN MIX INJ 100 IU/ML KWIKPEN HUMALOG MIX 50,113018
88,SALMETEROL 50 MCG DAN FLUTIKASON PROPIONAT 250 MCG SERETIDE DISKUS,132693
89,"BUDESONID FORMOTEROL TUR 160/4,5 MCG SYMBICORT",144402
90,SALMETEROL 50 MCG DAN FLUTIKASON PROPIONAT 500 MCG SERETIDE DISKUS,146442
91,"BUDESONID FORMOTEROL RAPIHALER 160/4,5 MCG SYMBICORT",221500
